Strategy,trades,total_invested,gross_pnl,net_pnl,roi_net,win_rate
Sweet Spot (10-15% edge),16,192.48509284715533,64.60494326005147,62.994911295925114,32.72716362817085,0.9375
All Events (Kelly 25%),90,976.7221597574863,135.29737375359207,127.66213527198005,13.07046574060301,0.7222222222222222
Positive Edge Only (>0%),90,976.7221597574863,135.29737375359207,127.66213527198005,13.07046574060301,0.7222222222222222
Moderate Edge (5-20%),42,434.63126105901324,59.56377742574382,56.66251582008931,13.036916783672355,0.7380952380952381
High Edge (>=8%),57,849.1215375077782,110.73072691757972,103.84060407576683,12.229180333894856,0.6491228070175439
"Avoid Overconfidence (edge>0, prob<0.80)",43,239.88087591344768,14.17100167102689,11.490037624831391,4.789893142201613,0.5813953488372093
"Combination (YES if edge>10%, NO if edge<-10%)",165,2138.641933052253,118.84263846687472,95.85344436358217,4.481977224994409,0.40606060606060607
Counter-Trade (bet NO on negative edge),115,1334.6814004939595,-14.600368903958923,-30.811070219714384,-2.3084962604791937,0.2782608695652174
"High Conviction (edge>10%, prob 0.7-0.85)",11,140.52086004217531,-60.484890603633154,-61.11630535123946,-43.49269235392972,0.45454545454545453
